id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
1,6,0,500mb,medium,103,2016-04-02,Fiber,Aspirational Adopters
2,4,0,2Gig,heavy,105,2019-02-26,Fiber,Peak Performers
3,8,0,Copper,light,111,2017-09-08,Copper,Foolproof Followers
4,4,0,5Gig,light,22,2016-01-02,Fiber,Peak Performers
5,2,0,500mb,medium,101,2023-06-09,Fiber,Settled Simplifiers
6,2,0,500mb,light,6,2018-08-06,Fiber,Budget Balancers
7,7,0,500mb,medium,68,2023-02-11,Fiber,Settled Simplifiers
8,9,0,2Gig,light,12,2019-11-16,Fiber,Foolproof Followers
9,7,0,500mb,light,18,2019-01-16,Fiber,Aspirational Adopters
10,1,0,500mb,heavy,23,2021-01-23,Fiber,Settled Simplifiers
11,4,0,500mb,medium,120,2022-07-08,Fiber,Settled Simplifiers
12,8,0,1Gig,heavy,65,2025-07-31,Fiber,Settled Simplifiers
13,10,0,1Gig,medium,110,2023-05-27,Fiber,Budget Balancers
14,5,0,Copper,heavy,18,2018-09-07,Copper,Peak Performers
15,6,0,500mb,medium,69,2021-10-25,Fiber,Settled Simplifiers
16,6,0,500mb,heavy,103,2023-02-13,Fiber,Settled Simplifiers
17,6,0,500mb,heavy,58,2017-02-24,Fiber,Peak Performers
18,10,0,Copper,heavy,63,2024-02-14,Copper,Peak Performers
19,1,0,1Gig,light,117,2018-03-04,Fiber,Settled Simplifiers
20,9,0,7Gig,medium,59,2018-02-17,Fiber,Settled Simplifiers
21,9,0,500mb,medium,101,2020-10-26,Fiber,Peak Performers
22,2,0,Copper,medium,48,2024-01-14,Copper,Settled Simplifiers
23,2,0,500mb,medium,38,2022-03-09,Fiber,Peak Performers
24,8,0,500mb,light,69,2018-02-11,Fiber,Settled Simplifiers
25,1,0,7Gig,light,78,2019-01-16,Fiber,Peak Performers
26,1,0,500mb,medium,34,2020-01-15,Fiber,Foolproof Followers
27,1,0,1Gig,medium,51,2025-07-26,Fiber,Settled Simplifiers
28,7,0,1Gig,medium,4,2017-07-13,Fiber,Peak Performers
29,10,0,1Gig,medium,29,2017-02-26,Fiber,Foolproof Followers
30,3,0,Copper,heavy,79,2022-12-27,Copper,Foolproof Followers
31,7,0,500mb,medium,24,2018-05-08,Fiber,Foolproof Followers
32,1,0,1Gig,medium,93,2020-07-24,Fiber,Settled Simplifiers
33,2,0,500mb,medium,17,2018-05-15,Fiber,Settled Simplifiers
34,1,0,7Gig,medium,52,2016-09-23,Fiber,Peak Performers
35,6,0,1Gig,medium,111,2020-07-02,Fiber,Peak Performers
36,5,0,1Gig,medium,50,2023-04-16,Fiber,Peak Performers
37,2,0,1Gig,medium,8,2023-04-14,Fiber,Peak Performers
38,7,0,500mb,medium,76,2021-10-04,Fiber,Budget Balancers
39,1,0,500mb,heavy,6,2025-10-06,Fiber,Foolproof Followers
40,4,0,1Gig,medium,62,2021-04-12,Fiber,Peak Performers
